location_name,data_date,submitted_date,Province,District,malaria_rdt_0-4,malaria_rdt_5-14,malaria_rdt_15,malaria_tot,newid
Facility 8,2019-06-12,2019-06-13,Sofala,Beira,6,4,16,26,8
Facility 27,2019-06-12,2019-06-13,Sofala,Nhamatanda,12,5,2,19,27
Facility 29,2019-06-12,2019-06-13,Sofala,Dondo,19,10,27,56,29
Facility 24,2019-06-12,2019-06-13,Sofala,Beira,30,17,28,75,24
Facility 28,2019-06-12,2019-06-13,Sofala,Nhamatanda,14,8,21,43,28
Facility 42,2019-06-12,2019-06-13,Sofala,Dondo,21,3,26,50,42
Facility 20,2019-06-12,2019-06-13,Sofala,Buzi,29,3,17,49,20
Facility 43,2019-06-04,2019-06-13,Sofala,Dondo,4,3,6,13,43
Facility 43,2019-06-03,2019-06-13,Sofala,Dondo,8,0,8,16,43
Facility 43,2019-06-02,2019-06-13,Sofala,Dondo,11,3,7,21,43
Facility 43,2019-06-01,2019-06-13,Sofala,Dondo,15,5,9,29,43
Facility 43,2019-05-31,2019-06-13,Sofala,Dondo,9,4,11,24,43
Facility 43,2019-05-30,2019-06-13,Sofala,Dondo,7,3,10,20,43
Facility 43,2019-05-29,2019-06-13,Sofala,Dondo,3,2,4,9,43
Facility 44,2019-05-24,2019-06-13,Sofala,Buzi,26,15,26,67,44
Facility 44,2019-05-23,2019-06-13,Sofala,Buzi,10,8,22,40,44
Facility 44,2019-05-22,2019-06-13,Sofala,Buzi,21,9,46,76,44
Facility 44,2019-05-21,2019-06-13,Sofala,Buzi,6,5,52,63,44
Facility 44,2019-05-19,2019-06-13,Sofala,Buzi,0,0,0,0,44
Facility 44,2019-05-18,2019-06-13,Sofala,Buzi,6,4,6,16,44
Facility 44,2019-05-17,2019-06-13,Sofala,Buzi,13,20,24,57,44
Facility 43,2019-05-28,2019-06-12,Sofala,Dondo,8,3,7,18,43
Facility 43,2019-05-27,2019-06-12,Sofala,Dondo,10,4,9,23,43
Facility 43,2019-05-26,2019-06-12,Sofala,Dondo,12,9,7,28,43
Facility 43,2019-05-25,2019-06-12,Sofala,Dondo,5,3,8,16,43
Facility 43,2019-05-23,2019-06-12,Sofala,Dondo,7,2,5,14,43
Facility 43,2019-05-22,2019-06-12,Sofala,Dondo,13,5,9,27,43
Facility 43,2019-05-21,2019-06-12,Sofala,Dondo,9,6,4,19,43
Facility 32,2019-06-12,2019-06-12,Sofala,Nhamatanda,27,33,22,82,32
Facility 32,2019-06-11,2019-06-12,Sofala,Nhamatanda,34,39,15,88,32
